Player,Date,Tm,Opp,Rslt,AppDec,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,GSc,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,DFS(DK),DFS(FD)
Hunter Wood\woodhu01,8/20/18,TBR,KCR,W 1-0,GS-2,1.2,2,0,0,0,2,0,0,25,15,53,,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0.557,0.917,6.55,11
Brad Peacock\peacobr01,8/21/18,HOU,SEA,W 3-2,GS-2,1.2,3,0,0,0,2,0,0,36,25,51,,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0.534,0.79,5.95,11
Nick Vincent\vinceni01,8/21/18,SEA,HOU,L 2-3,GS-2,2,1,0,0,1,1,0,0,26,17,54,,,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0.96,0.69,5.3,9
Ryne Stanek\stanery01,8/22/18,TBR,KCR,W 6-3,GS-2,2,0,0,0,0,2,0,0,22,15,58,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0.991,0.648,8.5,12
Diego Castillo\castidi01,8/24/18,TBR,BOS,W 10-3,GS-2,1.2,2,0,0,0,4,0,0,26,20,55,,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.495,0.791,10.55,17
Ryne Stanek\stanery01,8/28/18,TBR,ATL,L 5-9,GS-1,1,1,0,0,0,1,0,0,11,7,52,,,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0.047,0.483,0.763,3.65,6
Diego Castillo\castidi01,9/2/18,TBR,CLE,W 6-4,GS-2,1,1,0,0,0,1,0,0,16,10,52,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.14,0.725,3.65,6
Jeffrey Springs\sprinje01,9/3/18,TEX,LAA,L 1-3,GS-2,2,2,0,0,0,3,0,0,32,23,55,,,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.105,1.145,1.025,9.3,15
Ryne Stanek\stanery01,9/3/18,TBR,TOR,W 7-1,GS-1,1,0,0,0,0,1,0,0,16,11,54,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.496,0.663,4.25,6
Liam Hendriks\hendrli01,9/4/18,OAK,NYY,L 1-5,GS-1,1,0,0,0,0,1,0,0,11,7,54,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.501,0.63,4.25,6
Trevor May\maytr01,9/4/18,MIN,HOU,L 2-5,GS-1 L,1,5,4,4,0,0,1,0,26,18,27,,,8,8,1,0,0,0,0,0,0,0,0,0,0,0,36,-0.302,-3.509,0.848,-8.75,-9
Ryne Stanek\stanery01,9/9/18,TBR,BAL,W 8-3,GS-1,0.1,0,0,0,3,0,0,0,15,3,48,,,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.038,-0.412,1.02,-1.05,1
Liam Hendriks\hendrli01,9/12/18,OAK,BAL,W 10-0,GS-1,1,1,0,0,0,0,0,0,11,8,51,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.491,0.67,1.65,3
Connor Sadzeck\sadzeco01,9/14/18,TEX,SDP,W 4-0,GS-1,1,0,0,0,1,0,0,0,15,7,52,,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.046,0.454,0.913,1.65,3
Alex Claudio\claudal01,9/15/18,TEX,SDP,W 6-3,GS-1,1,1,0,0,0,1,0,0,16,10,52,,,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0.454,1.133,3.65,6
Ryne Stanek\stanery01,9/15/18,TBR,OAK,W 7-5,GS-1,1,1,0,0,0,2,0,0,16,12,53,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0.048,0.496,1.172,5.65,9
Gabriel Moya\moyaga01,9/17/18,MIN,DET,W 6-1,GS-1,1,1,0,0,0,1,0,0,20,15,52,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.517,0.705,3.65,6
Liam Hendriks\hendrli01,9/18/18,OAK,LAA,L 7-9,GS-1,1,0,0,0,0,1,0,0,7,6,54,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.501,0.63,4.25,6
Diego Castillo\castidi01,9/19/18,TBR,TEX,W 9-3,GS-2,1.2,1,0,0,0,2,0,0,24,17,55,,,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0.793,0.77,7.15,11
Gabriel Moya\moyaga01,9/19/18,MIN,DET,W 8-2,GS-1,1,1,0,0,0,1,0,0,18,12,52,,,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0.049,0.517,1.133,3.05,6
Ryne Stanek\stanery01,9/20/18,TBR,TOR,L 8-9,GS-2,1,3,2,2,0,1,1,0,17,13,40,,,6,6,1,0,0,0,0,0,0,0,0,0,0,0,18,-0.177,-1.887,0.785,-1.55,0
Liam Hendriks\hendrli01,9/21/18,OAK,MIN,W 7-6,GS-1,1,1,0,0,1,2,0,0,28,19,52,,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.501,1.238,5.05,9
Connor Sadzeck\sadzeco01,9/21/18,TEX,SEA,W 8-3,GS-1,1,0,0,0,2,0,0,0,21,11,51,,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.573,1.208,1.05,3
Diego Castillo\castidi01,9/24/18,TBR,NYY,L 1-4,GS-2,2,2,0,0,0,3,0,0,36,24,55,,,8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0.098,0.991,0.95,9.3,15
Gabriel Moya\moyaga01,9/25/18,MIN,DET,L 2-4,GS-1,1,0,0,0,1,0,0,0,21,9,52,,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.521,1.388,1.65,3
Ryne Stanek\stanery01,9/26/18,TBR,NYY,W 8-7,GS-1,1,2,3,3,1,2,1,0,30,17,38,,,6,5,0,0,0,0,0,0,0,0,0,0,0,0,27,-0.239,-2.505,1.022,-1.55,0
Lou Trivino\trivilo01,9/28/18,OAK,LAA,L 5-8,GS-1,1,0,0,0,0,0,0,0,11,7,53,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.496,0.63,2.25,3
Liam Hendriks\hendrli01,9/29/18,OAK,LAA,W 5-2,GS-1,1,1,0,0,0,0,0,0,15,9,51,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.496,0.89,1.65,3
Ryne Stanek\stanery01,4/1/19,TBR,COL,W 7-1,GS-1,1,1,0,0,0,3,0,0,19,12,54,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.522,0.67,7.65,12
Ryne Stanek\stanery01,4/17/19,TBR,BAL,W 8-1,GS-1,1,1,0,0,0,3,0,0,14,10,54,,,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.522,0.75,7.65,12
Hansel Robles\robleha01,4/21/19,LAA,SEA,W 8-6,GS-1,1,0,0,0,0,1,0,0,13,9,54,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.522,0.63,4.25,6
Ryne Stanek\stanery01,4/23/19,TBR,KCR,W 5-2,GS-2,1.1,1,0,0,0,0,0,0,13,12,52,,,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003,0.086,0.708,2.4,4
Cam Bedrosian\bedroca01,4/24/19,LAA,NYY,L 5-6,GS-1,1,0,0,0,1,2,0,0,20,11,54,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.522,0.858,5.65,9
Ryne Stanek\stanery01,4/29/19,TBR,KCR,W 8-5,GS-2,1.1,1,0,0,0,1,0,0,15,10,53,,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.521,0.808,4.4,7
Luke Bard\bardlu01,5/1/19,LAA,TOR,W 6-3,GS-1,1,0,0,0,0,2,0,0,19,11,55,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.522,0.63,6.25,9
Ryne Stanek\stanery01,2019-05-01Ê(1),TBR,KCR,L 2-3,GS-1 L,1,3,3,3,1,0,1,0,28,18,34,,,7,6,2,0,0,0,0,0,0,2,0,0,0,0,27,-0.223,-2.461,0.889,-6.15,-6
Adrian Houser\housead01,5/7/19,MIL,WSN,W 6-0,GS-2,2,2,0,0,1,4,0,0,35,22,55,,,10,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0.102,1.074,1.242,10.1,18
Luke Bard\bardlu01,5/9/19,LAA,DET,W 13-0,GS-1,1,2,0,0,0,0,0,0,14,9,49,,,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.545,0.948,1.05,3
Jesse Chavez\chaveje01,5/11/19,TEX,HOU,L 4-11,GS-1,1,0,0,0,0,0,0,0,10,7,53,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.528,0.637,2.25,3
Liam Hendriks\hendrli01,5/11/19,OAK,CLE,W 3-2,GS-1,1,1,0,0,0,1,0,0,10,7,52,,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.048,0.512,0.9,3.65,6
Ryne Stanek\stanery01,5/11/19,TBR,NYY,W 7-2,GS-2,2,1,0,0,0,1,0,0,26,16,55,,,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.101,1.045,0.849,5.9,9
