Player,Date,Tm,Opp,Rslt,AppDec,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,GSc,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,DFS(DK),DFS(FD)
Jalen Beeks\beeksja02,8/19/18,TBR,BOS,W 2-0,2-6 W,4,1,0,0,2,3,0,0,67,42,,1,0,14,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0.314,2.391,1.451,17.2,33
Ryan Yarbrough\yarbrry01,8/20/18,TBR,KCR,W 1-0,2-7 W,5.1,2,0,0,1,6,0,0,73,51,,2,0,19,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0.407,2.912,1.361,26.2,46
Ross Detwiler\detwiro01,8/21/18,SEA,HOU,L 2-3,3-8 L,6,8,3,3,2,2,1,0,76,48,,0,0,23,20,0,0,0,0,0,1,5,0,0,0,0,0,4.5,-0.126,-0.121,1.123,5.5,15
Framber Valdez\valdefr01,8/21/18,HOU,SEA,W 3-2,2-7 W,4.1,2,1,0,1,4,0,1,67,42,,2,0,19,15,0,0,0,3,0,0,0,1,0,0,0,0,0,0.117,0.966,1.393,18.15,37
Yonny Chirinos\chiriyo01,8/22/18,TBR,KCR,W 6-3,3-8 W,5,4,3,3,0,4,2,0,82,58,,0,0,19,19,1,0,0,0,0,0,0,0,0,0,0,1,5.4,0.019,-0.523,1.043,14.85,30
Jalen Beeks\beeksja02,8/24/18,TBR,BOS,W 10-3,2-7 W,5.1,7,3,3,3,4,0,0,97,59,,2,0,24,21,0,0,0,0,0,0,2,0,0,0,0,0,5.06,-0.049,-0.027,0.599,12,31
Yonny Chirinos\chiriyo01,8/28/18,TBR,ATL,L 5-9,6-Feb,5,7,5,2,3,3,0,3,81,51,,0,0,25,19,1,0,0,0,2,1,1,0,0,0,0,0,3.6,-0.353,-2.584,1.367,7.25,18
Ryan Yarbrough\yarbrry01,9/2/18,TBR,CLE,W 6-4,2-7 W,5,2,1,1,1,3,0,0,67,42,,1,0,17,16,1,0,0,0,0,0,0,0,1,0,0,0,1.8,0.325,1.657,0.968,17.45,33
Yonny Chirinos\chiriyo01,9/3/18,TBR,TOR,W 7-1,2-8 W,7,4,1,1,3,5,0,0,72,42,,0,0,25,22,0,0,0,0,0,0,3,0,0,0,0,0,1.29,0.12,2.469,0.627,23.55,45
Ariel Jurado\juradar01,9/3/18,TEX,LAA,L 1-3,6-Mar,4,2,0,0,1,1,0,0,54,34,,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,2.29,1.281,9.2,15
Daniel Mengden\mengdda01,9/4/18,OAK,NYY,L 1-5,6-Feb,4.2,1,0,0,0,3,0,0,51,31,,0,0,15,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0.282,2.275,1.005,15.9,23
Kohl Stewart\stewako01,9/4/18,MIN,HOU,L 2-5,6-Feb,5,3,0,0,1,3,0,0,73,44,,0,0,18,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0.102,2.455,0.342,14.85,24
Yonny Chirinos\chiriyo01,9/9/18,TBR,BAL,W 8-3,1-7 W,6.1,7,3,3,0,6,0,0,94,59,,2,0,25,24,2,1,0,0,0,1,0,0,0,0,0,0,4.26,0.149,0.777,0.464,20.05,40
Daniel Mengden\mengdda01,9/12/18,OAK,BAL,W 10-0,2-6 W,5,0,0,0,1,3,0,0,56,40,,0,0,16,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06,2.455,0.213,20.65,36
Yohander Mendez\mendeyo01,9/14/18,TEX,SDP,W 4-0,2-6 W,5,3,0,0,3,5,0,0,84,51,,0,0,19,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0.306,2.271,1.37,21.65,42
Yonny Chirinos\chiriyo01,9/15/18,TBR,OAK,W 7-5,7-Feb,5.1,7,3,3,1,5,1,0,89,60,,0,0,22,21,0,0,0,0,0,0,2,0,0,0,0,0,5.06,0.042,0.453,1.18,11.2,22
Ariel Jurado\juradar01,9/15/18,TEX,SDP,W 6-3,2-5 W,4,7,3,3,2,3,1,0,85,55,,0,0,21,18,0,0,0,0,1,0,0,0,0,0,0,0,6.75,-0.21,-1.184,1.066,7.6,24
Kohl Stewart\stewako01,9/17/18,MIN,DET,W 6-1,2-7 W,6,3,1,0,3,5,0,1,86,51,,0,0,23,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0.219,2.101,0.811,23.9,45
Daniel Mengden\mengdda01,9/18/18,OAK,LAA,L 7-9,5-Feb,4,2,1,1,2,3,1,0,68,41,,0,0,16,14,1,0,0,0,0,0,0,0,0,0,0,0,2.25,0.078,1.004,0.891,10.6,18
Stephen Gonsalves\gonsast01,9/19/18,MIN,DET,W 8-2,2-7 W,6,1,0,0,1,4,0,0,78,54,,0,0,19,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0.147,3.101,0.355,24.3,42
Ryan Yarbrough\yarbrry01,9/19/18,TBR,TEX,W 9-3,2-6 W,4,5,3,3,2,6,1,0,63,44,,1,0,19,17,1,0,0,0,0,0,0,0,0,0,0,0,6.75,0.034,0.099,0.655,14.8,33
Yonny Chirinos\chiriyo01,9/20/18,TBR,TOR,L 8-9,6-Feb,4.2,1,0,0,1,5,0,0,60,42,,1,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287,2.757,0.834,19.3,29
Chris Bassitt\bassich01,9/21/18,OAK,MIN,W 7-6,5-Feb,4,1,0,0,1,5,0,0,67,39,,0,0,15,13,1,0,0,1,0,0,0,1,0,0,0,0,0,0.173,2.004,0.799,17.2,27
Ariel Jurado\juradar01,9/21/18,TEX,SEA,W 8-3,2-6 W,5,6,2,2,1,2,0,0,75,47,,0,0,22,21,1,1,0,0,0,0,0,0,0,0,0,0,3.6,0.118,0.863,0.479,11.05,27
Ryan Yarbrough\yarbrry01,9/24/18,TBR,NYY,L 1-4,4-8 L,5,5,3,3,2,3,0,0,89,58,,0,0,22,19,4,0,0,1,0,0,0,0,0,0,0,0,5.4,-0.173,-0.523,0.722,6.45,15
Kohl Stewart\stewako01,9/25/18,MIN,DET,L 2-4,7-Feb,6,2,0,0,0,5,0,0,75,48,,0,0,21,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0.423,3.128,1.275,22.3,33
Yonny Chirinos\chiriyo01,9/26/18,TBR,NYY,W 8-7,2-5 W,4,3,0,0,2,3,0,0,73,46,,0,0,16,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0.237,1.982,1.376,16,33
Mike Fiers\fiersmi01,9/28/18,OAK,LAA,L 5-8,2-5 L,3.1,7,6,6,0,3,2,0,53,41,,0,0,18,17,3,0,0,1,0,0,0,2,0,0,0,0,16.2,-0.331,-4.199,0.653,-3.3,1
Trevor Cahill\cahiltr01,9/29/18,OAK,LAA,W 5-2,2-5 W,4,1,1,0,1,2,0,1,53,35,,0,0,15,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0.121,0.982,1.04,15.2,30
Ryan Yarbrough\yarbrry01,4/1/19,TBR,COL,W 7-1,2-6 W,4.1,3,1,1,0,3,0,0,57,37,,0,0,16,15,0,0,0,1,0,0,1,0,0,0,0,0,2.08,0.172,1.677,1.023,15.35,31
Yonny Chirinos\chiriyo01,4/17/19,TBR,BAL,W 8-1,2-6 W,5,1,0,0,1,5,0,0,70,47,,0,0,17,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0.122,2.612,0.379,24.05,42
Jaime Barria\barrija01,4/21/19,LAA,SEA,W 8-6,2-6 W,5,4,1,1,0,3,0,0,71,45,,0,0,18,17,2,0,0,1,0,0,0,0,0,0,0,0,1.8,0.202,1.612,0.889,16.25,33
Jalen Beeks\beeksja02,4/23/19,TBR,KCR,W 5-2,2-6 W,4.2,2,0,0,2,7,0,0,75,49,,1,0,19,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0.24,3.049,0.831,25.5,47
Felix Pena\penafe01,4/24/19,LAA,NYY,L 5-6,6-Feb,5,4,2,1,0,8,0,1,78,49,,0,0,19,19,1,0,0,0,0,0,0,1,0,0,0,0,1.8,0.157,0.612,0.839,22.85,36
Yonny Chirinos\chiriyo01,4/29/19,TBR,KCR,W 8-5,2-7 W,5.2,2,4,2,1,4,1,2,73,46,,1,0,21,19,0,1,0,0,0,1,0,0,0,0,0,0,3.18,0.016,-0.746,1.002,18.95,35
Felix Pena\penafe01,5/1/19,LAA,TOR,W 6-3,2-6 W,4.1,4,3,3,0,5,2,0,65,44,,0,0,18,18,1,0,0,0,0,0,0,0,0,0,0,1,6.23,0.063,-1.086,0.647,15.35,31
Jalen Beeks\beeksja02,2019-05-01Ê(1),TBR,KCR,L 2-3,8-Feb,6.2,1,0,0,2,6,0,0,84,52,,0,0,23,20,1,0,0,1,0,0,0,0,1,1,0,0,0,0.316,3.661,0.797,24.6,38
Freddy Peralta\peralfr01,5/7/19,MIL,WSN,W 6-0,3-7 W,5,3,0,0,2,5,0,0,80,56,,0,0,20,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0.355,2.685,1.371,22.25,42
Felix Pena\penafe01,5/9/19,LAA,DET,W 13-0,2-8 W,7,3,0,0,0,7,0,0,86,57,,0,0,24,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0.113,3.814,0.218,31.95,54
Aaron Brooks\brookaa01,5/11/19,OAK,CLE,W 3-2,6-Feb,4,4,1,1,3,4,1,0,91,54,,0,0,18,15,1,0,0,0,0,0,0,1,1,0,0,0,2.25,-0.048,0.05,1.263,10.8,21
Yonny Chirinos\chiriyo01,5/11/19,TBR,NYY,W 7-2,3-6 W,4,4,2,2,1,2,1,0,63,45,,0,0,17,14,1,0,0,2,0,0,2,0,0,0,1,0,4.5,-0.009,0.09,1.253,8.8,24
Drew Smyly\smylydr01,5/11/19,TEX,HOU,L 4-11,2-6 L,4.2,4,5,4,4,3,1,1,96,54,,0,0,23,19,1,0,0,0,0,0,0,0,0,0,0,0,7.71,-0.059,-0.152,1.097,3.7,11
