Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
28,49,96,Jul 15,TBR,@,MIN,L7-11,GS-2,,1,2,2,1,1,0,3,0,0,2.08,8,31,21,4,4,1,4,3,0,0,51,,,0,0,0,8,1,0,0,0,0,0,0.83,0.014,0.04,7.3,12,1b start tie,2b 3 out a2
30,51,99,Jul 22,TBR,,MIA,W6-4,7-Jul,,0,1,0,0,0,0,1,0,0,1.96,3,8,6,0,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.27,0.02,0.5,4.25,6,7t --- 0 out d3,7t 3 out d3
31,52,100,Jul 23,TBR,,NYY,W7-6,8-Jul,H(4),0,1,2,0,0,0,1,0,0,1.91,5,20,12,1,2,1,3,2,1,0,,2,2,0,0,0,5,0,0,0,0,0,0,1.67,-0.031,-1.13,3.05,6,7t -23 2 out a3,8t 1-- 2 out a1
32,53,102,Jul 25,TBR,,NYY,W3-2,GS-1,,1,1,1,0,0,0,2,0,0,1.86,4,22,16,1,2,1,1,1,0,0,53,,,0,0,0,4,0,0,0,0,0,0,0.86,0.048,0.5,5.65,9,1t start tie,1t 3 out tie
35,56,108,Aug 1,TBR,,LAA,W7-2,7-Jul,H(5),0,0.1,0,0,0,0,0,0,0,2.36,1,5,3,0,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.15,0.033,0.23,0.75,1,7t 1-- 2 out a2,7t 3 out a2
36,57,110,Aug 3,TBR,,CHW,L2-3,GS-2,,1,1.2,0,0,0,0,5,0,0,2.27,5,23,16,4,7,0,0,0,0,0,60,,,0,0,0,5,0,0,0,0,0,0,0.69,0.088,0.89,13.75,20,1t start tie,2t --- 2 out tie
38,59,117,Aug 11,TBR,@,TOR,W3-1,GS-2,,2,1.1,1,0,0,1,2,0,0,2.49,6,25,18,4,2,0,3,0,2,0,53,,,0,0,0,5,1,0,0,0,0,0,1.1,0.006,0.08,5.8,10,1b start a 1,2b 12- 1 out a2
39,60,118,Aug 12,TBR,@,TOR,L1-2,6-Jun,,0,0.2,0,0,0,0,0,0,0,2.45,1,5,3,0,2,1,0,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,2.01,-0.02,0.18,1.5,2,6b 1-3 1 out tie,6b 3 out d1
40,61,121,Aug 16,TBR,@,NYY,W3-1,8-Aug,H(6),3,0.2,2,1,0,0,0,0,0,2.42,4,18,12,5,0,1,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.05,-0.042,-0.8,0.3,2,8b --- 0 out a3,8b -2- 2 out a2
41,62,122,Aug 17,TBR,@,BOS,L3-7,GS-1,,0,1,2,2,2,1,0,0,0,2.74,6,32,17,4,3,1,4,1,0,0,40,,,0,0,0,5,0,1,0,0,0,0,1.11,-0.127,-1.47,-3.55,-3,1b start a 3,1b 3 out a1
42,63,125,Aug 20,TBR,,KCR,W1-0,8-Aug,H(7),2,1,2,0,0,0,0,0,0,2.68,4,8,6,1,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,2.83,0.12,0.5,1.05,3,8t --- 0 out a1,8t 3 out a1
44,65,130,Aug 25,TBR,,BOS,W5-1,6-Jun,W(2-3),2,1,0,0,0,0,1,0,0,2.53,2,11,5,0,2,0,1,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,0,1.53,0.127,0.88,8.25,18,6t 1-- 0 out tie,6t 3 out tie
46,67,134,Aug 31,TBR,@,CLE,L0-3,8-GF(8),,2,1,2,2,2,1,1,0,0,2.77,6,23,11,1,5,1,3,1,1,0,,0,0,3,0,0,5,0,0,0,0,0,0,0.58,-0.1,-1.47,-1.55,0,8b --- 0 out d1,8b end d 3
48,69,138,Sep 4,TBR,@,TOR,W4-0,GS-1,,0,1,1,0,0,0,1,0,1,2.67,4,10,6,2,1,1,1,1,0,0,52,,,0,1,0,3,1,0,0,0,0,0,1.31,0.048,0.5,3.05,6,1b start tie,1b 3 out tie
